customer_id,date,customer_gender,customer_age,customer_location,customer_type,has_cc,has_mortgage,convenience,customer_service,online_banking,interest_rates,fees_charges,community_involvement,products_services,privacy_security,reputation,satisfied
216604,22-08-2022,Male,50,Munster,Personal,TRUE,FALSE,4,5,4,4,4,4,5,2,4,TRUE
259276,23-11-2022,Female,61,Leinster,Personal,TRUE,FALSE,5,5,5,3,5,4,4,5,5,TRUE
265459,21-01-2022,Female,63,Munster,Business,TRUE,FALSE,2,2,5,5,2,,4,4,,TRUE
58770,13-03-2022,f,,Leinster,Business,TRUE,FALSE,,4,5,1,5,5,5,5,5,TRUE
318031,08-08-2022,Female,41,Leinster,Personal,TRUE,TRUE,1,1,1,1,2,2,4,5,2,FALSE
241092,30-01-2021,Female,71,,Personal,FALSE,TRUE,3,3,4,3,3,3,3,3,4,FALSE
380865,20-11-2022,Unspecified,40,Munster,Business,TRUE,FALSE,2,1,,4,2,2,2,2,4,FALSE
145660,21-10-2022,Female,46,Munster,Business,FALSE,FALSE,3,2,4,4,4,4,4,4,3,TRUE
219361,25-09-2021,Male,65,Leinster,Personal,TRUE,FALSE,5,4,1,4,4,4,5,4,2,TRUE
304040,02-02-2021,Female,69,Connacht,Personal,TRUE,TRUE,4,4,4,1,2,1,2,4,2,FALSE
314559,06-01-2021,Male,56,Munster,Business,TRUE,FALSE,4,4,5,2,3,,3,3,3,TRUE
932,27-02-2021,,51,Leinster,Business,TRUE,FALSE,5,3,4,4,3,3,3,3,4,TRUE
299011,16-01-2022,,,Leinster,Business,TRUE,FALSE,3,2,4,1,5,5,3,5,5,TRUE
312976,21-06-2021,Female,50,Munster,Business,TRUE,FALSE,4,1,2,4,4,4,4,4,2,TRUE
170205,06-05-2021,,52,Ulster,Business,TRUE,FALSE,2,4,4,5,3,,3,3,,TRUE
15145,19-04-2021,Male,54,Leinster,Business,TRUE,FALSE,2,2,4,4,4,4,4,4,3,TRUE
293568,26-08-2022,f,31,Connacht,Personal,TRUE,FALSE,2,2,2,5,4,5,,5,4,FALSE
375721,08-06-2022,Male,35,,Personal,TRUE,FALSE,1,2,1,5,5,4,3,3,5,FALSE
116340,03-11-2021,Female,32,Leinster,Personal,FALSE,TRUE,1,2,1,4,3,1,2,2,3,FALSE
313002,15-08-2022,Female,43,Ulster,Business,FALSE,FALSE,3,3,2,1,1,2,3,4,1,FALSE
199490,14-12-2022,,32,,Business,TRUE,FALSE,4,4,5,5,5,,5,5,,TRUE
175580,31-07-2022,Female,,Connacht,Personal,TRUE,FALSE,4,5,4,4,4,,,1,4,TRUE
247357,17-11-2022,Female,,Munster,Business,TRUE,FALSE,1,2,3,2,1,,3,4,4,FALSE
197632,22-02-2021,Female,54,Munster,Business,TRUE,FALSE,4,3,4,4,5,5,3,5,4,TRUE
32199,10-01-2021,Female,54,Leinster,Personal,TRUE,FALSE,4,3,4,4,4,3,4,2,,TRUE
143469,14-06-2021,Male,54,Connacht,Business,TRUE,FALSE,4,4,4,5,,5,5,5,5,TRUE
364402,18-05-2021,Male,42,Munster,Business,TRUE,FALSE,1,2,2,4,5,4,4,4,4,FALSE
304819,24-01-2022,Female,55,Leinster,Personal,TRUE,TRUE,2,3,3,3,5,3,4,4,5,FALSE
26,12-03-2022,Female,42,Leinster,Business,TRUE,FALSE,2,1,2,2,5,5,5,5,2,TRUE
124414,21-04-2021,Female,,Munster,Business,TRUE,FALSE,4,4,4,5,4,4,4,4,3,TRUE
368574,24-04-2021,m,32,Leinster,Personal,TRUE,FALSE,1,1,1,3,3,3,2,3,3,FALSE
43714,08-08-2021,Male,51,Munster,Business,TRUE,FALSE,1,2,5,,5,5,5,5,5,TRUE
351643,13-11-2022,Male,29,Leinster,Personal,TRUE,FALSE,5,5,5,5,5,2,5,5,5,TRUE
47338,02-04-2021,Male,,Leinster,Personal,TRUE,TRUE,1,4,3,4,1,3,1,,,FALSE
366619,24-01-2022,Male,60,Ulster,Personal,FALSE,TRUE,3,4,4,2,3,,4,4,3,FALSE
180138,28-03-2021,Unspecified,53,Connacht,Business-Plus,TRUE,TRUE,4,4,1,4,3,3,1,2,3,TRUE
105459,20-01-2021,Female,63,Leinster,Business,FALSE,FALSE,2,1,4,4,3,3,3,4,,TRUE
198238,15-08-2021,Not specified,62,Connacht,Personal,TRUE,FALSE,1,5,4,3,4,1,4,4,,FALSE
167046,29-06-2021,Female,72,Munster,Business,TRUE,FALSE,2,5,5,4,5,1,4,,4,TRUE
59094,07-02-2021,Female,27,Munster,Business-Plus,TRUE,FALSE,5,4,5,,5,2,1,4,5,TRUE
96862,02-02-2021,Male,,Leinster,Business,TRUE,FALSE,4,4,5,5,2,2,2,2,3,TRUE
334475,05-08-2022,f,29,Leinster,Personal,TRUE,FALSE,3,2,2,3,3,3,4,4,,FALSE
110386,06-03-2021,Male,29,Leinster,Business,TRUE,FALSE,3,1,4,5,5,3,4,1,5,TRUE
82997,25-10-2021,Male,41,Leinster,Business,FALSE,FALSE,3,4,1,1,3,4,3,3,3,FALSE
142069,04-04-2022,Male,24,Leinster,Personal,TRUE,TRUE,2,2,1,4,5,4,5,4,5,FALSE
8890,22-03-2022,m,49,Leinster,Business,FALSE,FALSE,3,3,4,5,1,,3,1,3,TRUE
219799,21-05-2021,Female,67,Leinster,Personal,TRUE,TRUE,2,2,2,4,2,3,2,5,2,FALSE
287302,22-05-2022,Not specified,73,Leinster,Personal,TRUE,TRUE,3,3,3,4,5,5,4,,5,FALSE
117503,17-07-2021,Male,57,Leinster,Business,TRUE,FALSE,2,1,5,4,5,4,5,5,5,TRUE
350399,10-01-2021,Male,,Leinster,Business,TRUE,FALSE,1,2,4,4,4,2,4,4,,TRUE
83205,10-12-2021,Female,,Connacht,Business,TRUE,FALSE,1,1,1,5,2,5,4,4,5,FALSE
385229,20-12-2022,Female,37,,Personal,TRUE,FALSE,3,3,3,5,4,3,4,3,5,FALSE
49242,05-09-2022,Unspecified,,Leinster,Personal,TRUE,FALSE,2,3,2,2,,1,4,4,2,FALSE
291572,22-10-2021,Female,54,Leinster,Business,TRUE,FALSE,1,1,1,1,3,3,3,3,5,TRUE
267073,09-11-2022,Not specified,29,Leinster,Personal,TRUE,FALSE,4,2,3,3,4,2,,,4,TRUE
164681,26-06-2021,Male,54,Leinster,Personal,FALSE,FALSE,2,3,2,2,2,1,4,4,2,FALSE
127777,15-11-2021,,,Leinster,Business,FALSE,FALSE,3,3,3,3,3,3,3,3,2,FALSE
217108,26-09-2022,Female,34,Munster,Business,TRUE,FALSE,3,3,2,3,3,3,2,3,3,FALSE
232282,29-06-2022,m,78,Munster,Personal,TRUE,TRUE,2,3,5,2,2,2,2,2,5,FALSE
38118,06-09-2021,Female,31,Leinster,Business,TRUE,FALSE,1,1,4,4,4,1,4,4,4,TRUE
340384,17-04-2022,Male,52,Connacht,Business,TRUE,FALSE,3,3,3,2,2,3,4,5,3,FALSE
166320,05-04-2021,Female,45,Leinster,Personal,TRUE,TRUE,1,1,1,3,1,3,3,3,1,FALSE
203959,31-10-2022,Female,57,Leinster,Business,TRUE,FALSE,2,5,2,1,2,,2,2,1,FALSE
36490,22-11-2021,,59,,Personal,FALSE,FALSE,4,2,4,4,4,,5,1,4,TRUE
174005,11-12-2021,Male,53,Connacht,Business,TRUE,FALSE,2,2,5,3,4,4,4,4,1,TRUE
369049,02-12-2022,f,51,Leinster,Business,TRUE,TRUE,2,2,2,1,2,4,3,1,2,FALSE
88692,22-02-2021,Male,56,Munster,Personal,FALSE,FALSE,4,3,4,4,4,5,2,3,,TRUE
265179,14-02-2021,Male,19,Munster,Personal,TRUE,TRUE,5,5,5,,1,4,3,4,4,TRUE
18245,12-10-2021,m,,Leinster,Business,TRUE,FALSE,3,3,4,5,5,5,4,5,4,TRUE
296408,30-06-2021,Female,,Leinster,Business,TRUE,FALSE,3,3,1,5,4,2,4,4,5,TRUE
368309,09-08-2021,Male,39,Leinster,Business-Plus,TRUE,FALSE,4,4,2,4,4,1,2,3,4,TRUE
279320,27-11-2021,Male,75,Munster,Personal,FALSE,TRUE,3,2,4,4,1,1,4,1,3,TRUE
84570,17-12-2022,Male,61,Leinster,Business,TRUE,FALSE,3,3,4,5,4,4,2,2,4,TRUE
37480,13-07-2022,Male,69,,Personal,TRUE,FALSE,5,2,5,5,5,4,1,,,TRUE
134902,19-07-2021,Female,50,,Personal,TRUE,TRUE,1,1,4,4,1,5,3,5,1,FALSE
381255,29-07-2022,Female,,Connacht,Personal,TRUE,TRUE,3,2,2,3,1,4,2,2,1,FALSE
150408,22-04-2022,,63,,Personal,TRUE,FALSE,5,1,1,5,5,5,5,5,4,TRUE
161012,13-09-2021,Female,49,,Business,FALSE,FALSE,4,2,1,4,4,4,3,4,4,TRUE
175178,01-02-2021,Male,44,Munster,Business,FALSE,FALSE,2,2,4,4,4,1,4,4,2,TRUE
208620,07-09-2022,Female,41,Leinster,Business,TRUE,FALSE,1,3,5,5,2,2,2,2,,TRUE
327228,11-11-2021,Female,34,Leinster,Business,TRUE,FALSE,3,2,4,4,4,3,5,5,4,TRUE
97319,11-06-2022,Female,69,,Personal,TRUE,FALSE,2,5,4,1,2,4,3,3,2,FALSE
285119,25-04-2021,f,31,Leinster,Personal,TRUE,TRUE,2,4,4,2,2,5,3,5,2,FALSE
143404,19-04-2021,Male,53,Leinster,Personal,TRUE,TRUE,1,1,4,3,2,2,2,2,,FALSE
30183,26-07-2022,Female,24,Leinster,Personal,TRUE,FALSE,2,3,1,2,2,1,1,4,2,FALSE
215074,13-12-2022,Male,58,Leinster,Personal,TRUE,TRUE,4,3,3,4,4,3,2,3,2,FALSE
